Trials,Min Card Count,Average Rounds Played, Probability of Termination
2750,11.707,1445.785,0.68
2760,10.771,1437.23,0.688
2770,10.981,1476.31,0.68
2780,11.566,1486.68,0.67
2790,11.323,1421.331,0.699
2800,11.286,1528.422,0.664
2810,10.865,1470.398,0.685
2820,11.372,1490.087,0.676
2830,10.716,1440.825,0.702
2840,11.2,1500.248,0.685
2850,10.881,1483.386,0.695
2860,11.319,1542.915,0.66
2870,10.914,1517.233,0.68
2880,11.115,1538.408,0.67
2890,11.402,1495.462,0.686
2900,11.396,1468.768,0.699
2910,11.618,1458.378,0.686
2920,11.329,1452.627,0.702
2930,10.833,1534.659,0.682
2940,11.389,1509.982,0.697
2950,11.03,1559.374,0.676
2960,10.984,1539.015,0.681
2970,10.672,1566.707,0.681
2980,11.17,1542.843,0.697
2990,11.298,1538.281,0.675
3000,10.982,1554.51,0.69
3010,11.005,1562.792,0.688
3020,11.344,1534.502,0.688
3030,10.914,1515.821,0.709
3040,11.346,1561.083,0.684
3050,11.337,1580.893,0.681
3060,11.096,1528.117,0.703
3070,11.271,1646.021,0.675
3080,11.297,1530.519,0.699
3090,11.454,1515.878,0.704
3100,11.062,1547.806,0.712
3110,11.06,1570.206,0.692
3120,10.266,1604.497,0.69
3130,11.37,1539.007,0.702
3140,11.239,1560.149,0.705
3150,11.055,1542.723,0.708
3160,10.643,1578.588,0.711
3170,11.162,1565.335,0.707
3180,11.449,1599.183,0.693
3190,11.141,1583.749,0.704
3200,11.408,1561.872,0.699
3210,11.234,1660.457,0.667
3220,10.736,1585.857,0.688
3230,11.172,1585.221,0.703
3240,10.95,1607.998,0.71
3250,11.436,1660.933,0.682
3260,11.425,1564.002,0.712
3270,11.011,1567.383,0.722
3280,11.153,1648.364,0.691
3290,11.05,1554.294,0.734
3300,11.007,1585.867,0.703
3310,10.776,1657.694,0.69
3320,11.244,1600.522,0.719
3330,11.207,1623.398,0.72
3340,10.918,1613.272,0.707
3350,11.427,1645.938,0.699
3360,10.597,1614.499,0.714
3370,11.185,1621.479,0.713
3380,11.227,1586.178,0.72
3390,11.254,1638.768,0.713
3400,11.14,1703.112,0.688
3410,11.031,1643.886,0.712
3420,10.852,1582.172,0.74
3430,10.974,1639.01,0.715
3440,11.244,1632.299,0.713
3450,10.98,1744.413,0.676
3460,11.397,1685.975,0.705
3470,10.879,1671.835,0.715
3480,11.175,1670.824,0.708
3490,11.733,1645.325,0.696
3500,10.819,1658.01,0.72
3510,11.262,1658.053,0.712
3520,10.871,1679.966,0.711
3530,10.704,1679.515,0.711
3540,11.022,1646.315,0.721
3550,11.076,1662.626,0.736
3560,11.216,1674.957,0.716
3570,10.861,1653.238,0.723
3580,11.266,1763.367,0.684
3590,11.352,1756.951,0.698
3600,10.913,1703.884,0.697
3610,11.49,1764.356,0.686
3620,11.438,1695.884,0.715
3630,11.361,1691.341,0.708
3640,11.299,1784.478,0.68
3650,11.179,1763.341,0.698
3660,11.11,1768.996,0.696
3670,11.175,1713.488,0.717
3680,11.138,1847.638,0.683
3690,10.679,1762.337,0.707
3700,11.072,1723.199,0.719
3710,11.195,1706.046,0.71
3720,11.031,1810.544,0.696
3730,11.017,1759.972,0.703
3740,11.146,1747.63,0.718
3750,11.533,1726.276,0.717
3760,11.075,1690.037,0.727
3770,11.119,1707.388,0.716
3780,11.187,1842.936,0.685
3790,11.027,1771.978,0.714
3800,11.272,1725.508,0.716
3810,11.155,1754.888,0.719
3820,10.964,1802.32,0.704
3830,11.374,1841.985,0.691
3840,10.689,1716.194,0.733
3850,10.615,1810.285,0.713
3860,10.906,1772.458,0.716
3870,10.742,1782.397,0.719
3880,11.248,1826.435,0.697
3890,10.875,1679.097,0.743
3900,11.264,1854.331,0.688
3910,11.022,1789.635,0.723
3920,11.027,1701.704,0.736
3930,11.021,1813.337,0.709
3940,10.638,1888.135,0.704
3950,10.775,1817.305,0.716
3960,10.974,1849.435,0.7
3970,10.966,1857.746,0.705
3980,10.87,1802.384,0.723
3990,10.875,1848.908,0.716
4000,10.936,1740.065,0.733
4010,11.344,1894.66,0.69
4020,10.622,1782.374,0.729
4030,11.144,1782.367,0.717
4040,10.635,1903.69,0.709
4050,10.676,1748.113,0.757
4060,11.008,1903.942,0.707
4070,11.477,1896.219,0.689
4080,11.013,1756.736,0.723
4090,10.804,1824.218,0.718
4100,11.186,1831.137,0.719
